District,Location
LUDHIANA,Sherian
LUDHIANA,Sherpur Bhet
LUDHIANA,Sidhwan Bet-Pz
LUDHIANA,Talwandi Kalan-Pz
LUDHIANA,Tandari Kallon
LUDHIANA,Udonwal-Pz
LUDHIANA,Upplan
LUDHIANA,Utlan
MANSA,Aklia-Pz
MANSA,Alampur Mandran-Pz
MANSA,Alisher Khurd-Pz
MANSA,Bahadur Pur-Pz
MANSA,Bareh-Pz
MANSA,Behniwala-Pz
MANSA,Bhamme Kalan-Pz
MANSA,Bhikhi 1 (s)
MANSA,Bhikhi 2 (s)
MANSA,Budhlada
MANSA,Budhlada-Pz
MANSA,Burj Bhalaike
MANSA,Burj Rathi-Pz
MANSA,Fattamaluka
MANSA,Gharangne-Pz
MANSA,Hero Kalan-Pz
MANSA,Hirke-Pz
MANSA,Joga -Dp-PZ
MANSA,Khiala Kalan-Pz
MANSA,Khokhar Kalan-Pz
MANSA,Kot Lallu-PZ
MANSA,Kotra
MANSA,Kusla-Pz
MANSA,Lakhiwal-Pz
MANSA,Makha-[PZ
MANSA,Mansa
MANSA,Mofar-Pz
MANSA,Phaphare Bhaike-Pz
MANSA,Raipur-Pz
MANSA,Ralla
MANSA,Sangha-Pz
MANSA,Tibbi Hari Singh-PZ
MOGA,Baje Ke-Pz
MOGA,Baraghar-Pz
MOGA,Bilaspur-PZ
MOGA,Budh Singh Wala-Pz
MOGA,Chand Nawan-PZ
MOGA,Chogawan-Pz
MOGA,Dagru- Pz
MOGA,Darapur 07pz
MOGA,Dhudi Ke-PZ
MOGA,Dinna-PZ
MOGA,Himatpura-Pz
MOGA,Indergarh-Pz
MOGA,Jaisinnghwala
MOGA,Jhandewala-Pz
MOGA,Kamalke-Pz
MOGA,Khokri Kalan-Pz
MOGA,Khosa Randhir-Pz
MOGA,Mandar-Pz
MOGA,Mangewala-Pz
MOGA,Mari Mustfa-PZ
MOGA,Meemana-PZ
MOGA,Nathu Wala-Pz
MOGA,Nihalsinghwala-Pz
MOGA,Raonke Kalan-Pz
MOGA,Samad Bhai-Pz
MOGA,Samalsar-Pz
MOGA,Thathe Bhai-Pz
MOGA,Tota Singh Wala-Pz
MUKTSAR,Abulkharana-Pz
MUKTSAR,Balocha Khera(rasoolpur)
MUKTSAR,Bhaliana
MUKTSAR,Bhiti Wala-Pz
MUKTSAR,Chakmaan-Pz
